monto_transaccion,tiempo_transaccion,ubicacion_comprador,método_pago,historial_compras,número_devoluciones,edad_cuenta,frecuencia_compras,fraude,tipo_fraude
5417.265143612748,81161.07646360587,0,0,27067.96210452666,5,3633,7,0,no fraude
4279.123702497386,32676.99175138263,0,1,35769.18731879314,2,552,61,0,no fraude
1014.6064325205388,33869.74354252574,1,2,44348.54141723017,2,962,68,0,no fraude
951.9376519429225,7880.23437563445,0,0,12458.135153736926,6,1640,92,0,no fraude
1918.8533165410843,41823.38330313706,1,2,17715.909887140537,5,247,40,0,no fraude
706.2642531299664,68171.35280456337,1,1,32163.72958932369,8,983,49,0,no fraude
663.540678318877,41776.75879203111,1,2,329.4798851402436,1,1029,18,0,no fraude
2751.5426630291354,55864.7128301292,1,1,15911.555070808576,1,1649,62,0,no fraude
8157.9617857392395,15742.036209976322,1,2,14549.832496735877,3,3494,18,0,no fraude
1591.5441655873162,35336.945316535785,1,0,34404.93374213359,3,3237,17,0,no fraude
3139.4210155965593,64642.37687211983,0,1,29427.78500937497,8,3497,13,0,no fraude
2990.852615833042,42010.07424621522,1,2,5940.043037006027,0,2656,96,0,no fraude
4959.893142675808,37514.84649378412,1,3,47210.45140412648,0,1731,60,0,no fraude
1455.7459970115099,19282.53725777037,0,3,1666.238248590507,3,2932,85,0,no fraude
672.0887415274727,9872.865126686595,0,3,45101.13965510229,3,1110,23,0,no fraude
1398.6125982459707,65827.27210397455,0,2,37132.57472531628,9,3437,38,0,no fraude
1146.9682325788292,34347.49749627421,0,0,32042.991245243873,0,3377,71,0,no fraude
4935.887893849202,13187.043336375971,1,1,47851.255947455145,4,3540,76,0,no fraude
890.4228696650525,68250.88348292095,0,0,5645.882263817697,2,950,64,0,no fraude
655.6230058876777,8685.019124331093,1,0,23015.13183036246,4,3041,19,0,no fraude
1866.6029736308678,45523.49039445515,1,1,37471.99446512763,0,1168,63,0,no fraude
321.2931279069488,85349.74628474948,0,2,7013.102609754057,5,720,84,0,no fraude
3517.241223103606,78351.10583078575,1,2,42029.7243527927,8,123,58,0,no fraude
1458.0157804505711,28263.424354377476,0,1,34832.500117821466,9,926,60,0,no fraude
1849.4713889809257,41458.72111567207,0,1,48503.37397436254,5,2,60,0,no fraude
1863.0213207477211,70830.95086777517,1,2,5621.265441535012,6,2036,23,0,no fraude
1385.0477674816225,50219.13962371184,1,3,43540.65395210001,9,2858,6,0,no fraude
10178.957955828944,2572.4438310171313,1,3,13298.735237091969,5,2183,65,0,no fraude
735.7729445022109,51626.565461228325,0,2,40606.9840663924,0,3047,16,0,no fraude
356.4180272012422,57420.30001920072,1,1,49923.33167568154,5,264,53,0,no fraude
3028.6814573051547,43864.11842597505,1,3,35430.16231051707,3,612,26,0,no fraude
1203.9359837901554,78308.23778330952,0,1,22548.639128562292,7,277,30,0,no fraude
2616.491082413864,6037.841198471635,1,0,43313.65617449734,3,2429,46,0,no fraude
759.8656464904548,13140.366148641107,1,2,10283.102163867452,6,3440,74,0,no fraude
7641.204912360852,28887.801246461957,1,0,29499.073600027892,0,356,62,0,no fraude
1399.2261495147645,15952.995724034268,0,3,3724.1390618091395,3,99,33,0,no fraude
9974.39403733117,49200.65666204334,1,2,49840.673934861974,9,3422,23,0,no fraude
12779.536750339505,44408.61316003721,0,3,27866.547447152752,6,1268,26,0,no fraude
8155.200003594626,30826.22792238497,0,2,28903.665738367985,7,2916,52,0,no fraude
2865.4579455905828,28959.58935342928,0,1,8236.232194878185,2,3416,80,0,no fraude
3041.7589779353943,52352.15832845019,0,1,129.70724260794597,4,806,87,0,no fraude
1831.209645414731,59424.967031199594,1,2,25984.960125707723,1,509,93,0,no fraude
8502.229180051918,38276.93188013648,1,2,41241.78749918396,6,2502,38,0,no fraude
5968.262007286956,78656.2233612511,0,2,42098.8541862625,3,336,64,0,no fraude
9614.200403518647,57214.119608846595,1,3,46988.66972583999,7,1128,98,0,no fraude
